papiloma	497
humano	3398
vph	21
venérea	131
bejel	5
njovera	4
endémica	48
pian	18
lesiones	985
iniciales	17
frambesia	214
inicial	464
madre	789
papilomas	8
ladilla	4
frambesioma	6
pianoma	4
plantar	1004
palmar	979
tempranas	16
cinco	272
temprana	293
macular	595
maculopapulosa	3
micropapulosa	3
papulosa	51
frambéside	6
hiperqueratosis	118
mano	12297
gul	1
plantas	327
carcomidas	1
gomas	1
úlceras	104
nodular	572
ulcerada	33
gomatosa	7
gangosa	5
rinofaringitis	15
mutilante	28
óseas	83
ganglionar	224
goundou	2
hueso	9168
hidrartrosis	52
osteítis	254
periostitis	131
hipertrófica	300
nódulos	179
yuxtarticulares	5
pinta	113
carate	7
primarias	16
primario	1822
pápula	26
intermedias	29
hipercrómicas	11
píntides	1
placas	149
eritematosas	27
acrómicas	11
cicatriciales	3
discrómicas	6
mixtas	79
cutáneas	228
acrónimas	2
recidivante	585
recurrente	1488
transmitida	443
piojos	49
borrelia	271
recurrentis	5
garrapatas	241
excepto	2082
estomatitis	233
ulcerativa	97
cancrum	5
oris	19
gangrenosa	87
fusoespiroquetal	3
noma	12
vincent	43
boca	1487
trinchera	12
gingivitis	163
ulcerosa	376
necrosante	226
gingivoestomatitis	25
lyme	97
crónico	866
burgdorferi	250
neurológicos	64
craneal	2034
afecciones	291
asociadas	120
miopericarditis	10
clamidia	102
psittaci	136
loro	89
ornitosis	25
psitacosis	12
tracoma	67
etapa	351
dubium	3
activa	1240
folicular	630
tracomatosa	16
granular	84
pannus	28
tracomatoso	12
paratracoma	4
clamidiosis	1
tifus	165
transmitido	144
rickettsia	250
prowazekii	25
recrudescente	14
brill	8
brill-zinsser	2
murino	45
pulgas	25
tsutsugamushi	57
scrub	19
ácaros	88
maculosa	42
rickettsiosis	44
rickettsii	40
sao	8
paulo	4
montañas	52
rocosas	41
conorii	19
botonosa	7
marsella	9
garrapata	119
mediterránea	41
africana	167
india	64
kenia	8
siberica	5
norte	154
asia	58
siberia	9
australis	40
queensland	10
erliquiosis	14
chafeensis	4
maculosas	3
q	306
coxiella	75
burnetii	79
cuadrilateral	3
nueve	88
millas	6
trincheras	6
quintana	49
wolhynian	2
akari	12
kew	3
garden	58
vesicular	326
ehrlichia	88
sennetsu	13
poliomielitis	325
asociada	2387
vacuna	4280
natural	585
importado	2
autóctono	3
atípico	141
central	3242
creutzfeldt-jakob	68
jakob-creutzfeldt	1
variante	537
vecj	2
ecj	1
encefalopatía	380
espongiforme	22
esporádica	41
familiar	3905
iatrogénica	78
panencefalitis	14
esclerosante	345
inclusión	304
cuerpos	429
dawson	6
leucoencefalopatía	86
van	53
bogaert	14
multifocal	204
atípicos	20
kuru	10
gerstmann-sträussler-scheinker	3
gss	3
insomnio	200
fatal	58
iff	2
atípica	263
priónicas	1
rabia	124
silvestre	106
urbana	28
mosquitos	119
japonesa	94
equina	841
occidental	197
oriental	163
san	103
luis	7
australia	24
kunjin	6
california	113
crosse	26
rocío	8
transmitidas	126
lejano	34
oriente	32
primaveroestival	2
rusa	30
centroeuropea	2
powassan	24
louping-ill	1
enteroviral	32
encefalomielitis	220
artrópodos	276
letárgica	7
von	315
economo-cruchet	2
adenoviral	48
coriomeningitis	43
linfocitaria	46
exantemática	26
exantema	151
boston	41
vértigo	279
dengue	144
hemorrágico	499
chikungunya	27
onyong-nyong	3
venezolana	48
nilo	105
neurológicas	53
valle	93
rift	21
zika	19
mosquito	71
oropouche	9
flebotomos	2
pappataci	2
colorado	59
indiana	27
piry	8
arbovirus	38
amarilla	293
selvática	10
arenavirus	21
junín	14
argentina	19
machupo	8
boliviana	5
lassa	26
hemorrágicas	26
crimea-congo	3
omsk	9
selva	23
kyasanur	8
marburg	35
ébola	55
renal	4851
hantavirus	57
renales	310
hanta	5
songo	2
corea	189
rusia	6
epidémica	121
eccema	426
herpético	110
erupción	534
variceliforme	16
kaposi	138
dermatitis	2055
herpética	84
labio	1981
facial	1424
labial	424
externa	3357
faringoamigdalitis	6
monos	25
anterior	6791
párpados	211
herpéticas	3
panadizo	16
varicela	237
posvaricela	8
zóster	313
ganglionitis	18
geniculado	53
posherpética	29
neuralgia	261
trigémino	366
otro	1201
radiculopatía	206
postherpética	10
escleritis	95
blefaritis	122
diseminado	44
viruela	263
sarampión	306
complicado	1240
postsarampión	14
rubeola	22
alemán	57
complicación	5198
neurológica	202
víricas	20
verruca	2
plantaris	4
plana	188
común	1538
caracterizadas	10
ortopoxvirus	13
vaccinia	76
vacunación	1400
orf	8
pustular	20
contagiosa	66
ectima	29
contagioso	66
seudovacuna	2
nódulo	909
ordeñadores	3
paravacuna	6
orthopoxvirus	12
molusco	75
súbito	31
sexta	710
roseola	10
infantum	17
6	3260
7	2352
infeccioso	1051
quinta	941
mano-pie-boca	4
aftosa	73
herpangina	7
parapoxvirus	17
bovina	771
sealpox	1
yatapoxvirus	13
tanapox	7
yaba	23
tumor	7245
membranas	458
pie-boca	3
linfonodular	10
poxvirus	14
caracterizada	38
enantema	8
humanos	135
8	1949
asociado	918
sarcoma	675
coma	928
hepático	992
delta	302
agudas	186
sobreinfección	10
portador	381
no-a	1
no-b	1
vírica	303
especificar	1644
inmunodeficiencia	1647
humana	3165
vih	549
citomegalovirus	274
neumonitis	358
pancreatitis	233
parotiditis	230
paperas	117
mononucleosis	162
gamma	434
epstein-barr	69
gammaherpesvirus	6
hepatomegalia	43
trabajador	359
astilleros	7
piscinas	10
faringoconjuntivitis	7
70	479
24	1780
newcastle	100
mialgia	55
bornholm	5
río	96
ross	34
poliartritis	104
epidémicos	1
retrovirus	51
cardio	5
sph	2
scph	2
nombre	740
coronavirus	1023
parvovirus	218
papovavirus	19
viremia	21
dermatofitosis	71
tiña	448
barba	95
cuero	1054
cabelludo	979
kerion	4
sicosis	34
micótica	146
uñas	491
uña	1352
onicomicosis	123
oniquia	24
dermatofitos	6
pie	13451
tinea	11
pedis	8
atleta	18
cuerpo	9736
corporis	18
imbricada	1
imbricata	7
tokelau	6
cruris	12
prurito	219
dhobi	3
jock	1
ingle	337
granulomatosa	227
micosis	229
superficiales	273
pitiriasis	122
versicolor	33
flava	18
negra	255
microsporosis	5
nigra	51
queratomicosis	5
nigricans	83
piedra	177
blanca	517
superficial	4011
candidiasis	312
candidiásica	52
candidiasisis	1
bucal	1665
muguet	16
bronquitis	487
cándidas	17
paroniquia	46
vagina	1774
moniliásica	9
urogenitales	16
esofagitis	135
proctitis	83
queilitis	85
coccidioidomicosis	88
prostática	288
histoplasmosis	152
histoplasma	154
capsulatum	121
hystoplasma	1
americana	184
duboisii	22
blastomicosis	108
blastomicótica	11
meningomielitis	21
paracoccidioidomicosis	35
esporotricosis	47
linfocutánea	6
cromomicosis	26
feomicótico	10
verrucosa	34
quiste	3607
aspergilosis	74
invasiva	157
amigdalina	126
alérgica	1189
broncopulmonar	50
criptococosis	66
meningocerebral	1
criptocócica	14
ósea	3654
cigomicosis	7
mucormicosis	35
rinocerebral	4
subcutánea	542
entomoftoromicosis	2
ficomicosis	7
micetoma	82
eumicetoma	4
maduromicosis	8
madura	57
micótico	56
actinomicetoma	25
lobomicosis	6
queloidea	2
lobo	19
rinosporidiosis	12
alesqueriasis	2
pseudallescheria	12
geotricosis	6
geotrichum	30
penicilosis	3
adiaspiromicosis	11
alternaria	41
drechslera	12
fusarium	91
hongos	238
saprofitos	1
fungemia	5
paludismo	272
malaria	98
plasmodium	292
falciparum	86
cerebrales	363
grave	1466
vivax	78
malariae	53
ovale	48
plasmodios	8
simios	14
clasificada	3840
leishmaniasis	162
kala-azar	7
poskala-azar	1
tripanosomiasis	79
gambiense	21
sueño	927
áfrica	77
trypanosoma	148
brucei	52
rhodesiense	20
chagas	99
compromiso	1542
cardiaco	273
afecta	729
corazón	1724
megaesófago	16
megacolon	88
toxoplasmosis	164
toxoplasma	142
túbulointersticial	11
neumocistosis	19
pneumocystis	126
carinii	43
jiroveci	43
babesiosis	13
piroplasmosis	3
acantamebiasis	10
acantoamebiasis	2
acantoameba	4
culbertson	1
naegleriasis	5
esquistosomiasis	111
bilharziasis	22
schistosoma	166
haematobium	22
urinaria	1473
mansoni	37
japonicum	38
asiática	35
cercarias	9
nadador	168
intercalatum	7
mattheei	3
mekongi	5
trematodos	27
opistorquiasis	3
opisthorchis	35
felineus	7
viverrini	13
trematodo	77
clonorquiasis	12
clonorchis	24
sinensis	52
tremátodo	7
china	72
dicrocoeliasis	2
dicrocoelium	12
dendriticum	9
lanceta	60
fascioliasis	5
hepáticos	93
oveja	265
fasciola	67
gigantica	6
hepatica	31
indica	57
paragonimiasis	5
distomiasis	16
paragonimus	51
fasciolopsiasis	3
fasciolopsis	25
buski	20
equinostomiasis	4
heterofiasis	3
metagonimiasis	3
nanofietiasis	3
watsoniasis	2
equinococosis	26
echinococcus	114
granulosus	53
órgano	2694
tenia	88
perro	919
multilocularis	20
teniasis	8
taenia	188
solium	62
cerdo	736
saginata	27
forma	29480
adulta	155
vaca	207
cisticercosis	46
difilobotriasis	14
esparganosis	9
difilobotrium	1
adulto	1272
pacificum	8
pescado	261
larvaria	102
espirometrosis	3
larvas	83
spirometra	25
sparganum	18
proliferum	8
cestodos	37
himenolepiasis	5
enana	24
dipilidiasis	3
coenurosis	10
dracontiasis	7
oncocercosis	30
endoftalmitis	100
glaucoma	742
infestación	919
filariasis	86
wuchereria	34
bancrofti	33
elefantiasis	74
bancroft	7
filaria	17
brugia	55
malayi	29
timori	19
loasis	5
gusanos	28
loa	56
inflamación	1286
calabar	13
mansoneliasis	4
mansonella	25
ozzardi	10
perstans	26
streptocerca	14
dirofilariasis	11
triquinosis	14
anquilostomiasis	27
ancylostoma	70
necatoriasis	14
necator	21
americanus	31
larva	280
ascariasis	37
estrongiloidiasis	29
tricuriasis	5
enterobiasis	6
helmintiasis	142
anisaquiasis	14
anisakis	48
capilariasis	15
capillaria	55
philippinensis	11
tricoestrongiliasis	5
angioestrongiliasis	4
angiostrongiliasis	6
parastrongylus	15
costaricensis	11
mixta	476
helmintos	16
clasificado	1842
categorías	51
b65	9
0-b81	1
3	6207
b81	13
oesophagostomum	46
esofagostomiasis	4
ternidens	9
diminutus	6
ternidensiasis	2
parasitosis	25
toxocariasis	13
gnatostomiasis	8
migratoria	48
cantonensis	34
eosinofílica	189
singamiasis	3
singamosis	3
hirudiniasis	12
interna	4286
acantocefaliasis	3
gongylonemiasis	1
metastrongiliasis	2
telaziasis	3
pediculosis	76
pediculus	31
humanus	11
capitis	31
cabeza	5207
ftiriasis	7
phthirus	19
pubis	287
ladillas	4
clasificable	63
b85	7
0-b85	1
escabiosis	3
picor	42
sarcóptico	3
miasis	73
reptante	4
heridas	321
traumática	8614
aural	11
infestaciones	14
acariasis	21
demodex	56
lyponissoides	3
sanguineus	6
dermanyssus	17
gallinae	39
trombiculosis	3
tungiasis	3
pulga	55
arena	76
scarabiasis	1
sanguijuela	10
vandellia	8
ichthyoparasitism	1
cirrhosa	8
linguatulosis	2
porocefaliasis	4
parásitos	190
parasitaria	194
secuelas	365
parasitarias	227
enterococos	8
estreptococos	65
estafilococos	31
agentes	939
bacterianos	56
mycoplasma	408
m	2343
pleuro-neumonía	1
pplo	7
klebsiella	163
k	787
stec	6
o157	88
productor	83
toxina	848
shiga	350
confirmación	177
antígeno	7183
h	587
desconocido	434
h7	169
inmóvil	518
producción	492
ecoli	13
no-o157	2
o	5595
conocido	66
proteus	126
mirabilis	45
morganii	37
aeruginosa	69
bacteroides	159
fragilis	61
helicobacter	191
pylori	122
coxsackievirus	66
sars	152
lentivirus	23
oncovirus	50
linfotrópico	313
células	4839
t	1902
htlv-i	6
ii	2777
htlv-ii	7
vih-2	4
sincitial	207
respiratorio	2422
reovirus	79
papilomavirus	313
metaneumovirus	8
neoplasia	24790
superior	11286
cara	5253
borde	1847
bermellón	101
superficie	3351
vestibular	573
frenillo	243
interior	178
comisura	373
contiguas	69
base	1707
lengua	1952
parte	9614
fija	256
tercio	636
posterior	7529
partes	3005
tercios	68
anteriores	228
punta	607
ventral	578
lingual	423
móvil	564
amígdala	377
contiguos	29
encía	497
suelo	143
delante	123
unión	1229
premolares-caninos	1
lateral	4015
paladar	1224
duro	313
úvula	219
techo	126
mejilla	470
vestíbulo	342
surco	1074
área	2992
retromolar	42
hojas	113
libro	15
cavidad	3778
oral	41725
salival	1100
menor	1456
lado	1407
parótida	294
salivales	157
mayores	276
submandibular	153
submaxilar	292
sublingual	442
mayor	2741
fosa	1091
pilar	196
amigdalino	72
amígdalas	241
fauces	142
palatinas	71
orofaringe	369
valécula	43
epiglotis	357
libre	887
pliegue	925
s	2605
glosoepiglótico	26
pared	4041
hendidura	390
branquial	250
zona	1060
adenoides	225
apertura	379
conducto	6562
auditivo	1470
rosenmüller	24
receso	145
faríngeo	162
coana	45
tabique	1872
cavum	3
l	1231
nasofaringea	3
piriforme	113
hipofaringe	254
región	9164
poscricoidea	47
aritenoepiglótico	117
hipofaríngea	79
interaritenoideo	102
marginal	332
definidas	91
anillo	1260
waldeyer	36
esófago	2040
estómago	1916
cardias	118
orificio	1094
cardial	8
cardioesofágica	18
gastroesofágica	40
fondo	582
antro	280
pilórico	120
gástrico	700
píloro	190
canal	1188
prepilórica	32
clasificarse	5
c16	5
1-c16	1
4	4878
0-c16	1
cáncer	969
duodeno	803
yeyuno	542
íleon	568
divertículo	532
meckel	88
colon	2259
ciego	350
íleocecal	4
apéndice	800
ascendente	466
derecho	10358
ángulo	992
transverso	478
descendente	577
izquierdo	10221
sigmoide	277
flexión	1077
rectosigmoidea	66
rectosigmoide	40
ampolla	3775
rectal	1838
esfínter	728
cloacogénica	5
ano-recto	1
anorrectal	135
vías	1845
biliares	576
intrahepáticas	29
carcinoma	5183
hepáticas	90
hepatocelular	61
hepatoma	10
biliar	2711
intrahepático	65
colangiocarcinoma	17
hepatoblastoma	14
angiosarcoma	19
kupffer	8
sarcomas	7
carcinomas	28
ni	451
vesícula	1689
vía	4511
extrahepática	54
cístico	166
colédoco	265
vater	250
intra	6
extrahepáticas	35
páncreas	1621
cola	629
pancreático	605
endocrino	529
islotes	148
langerhans	164
digestivos	197
definidos	17
bazo	990
tubo	1428
cartílago	2363
cornete	225
timpánico	128
timpánica	692
celdillas	49
mastoideas	39
trompa	2130
eustaquio	520
senos	266
accesorios	176
maxilar	2075
highmore	11
etmoidal	393
frontal	936
esfenoidal	281
accesorio	720
cuerdas	443
vocales	327
verdaderas	10
intrínseca	141
supraglotis	95
bandas	131
ventriculares	73
falsas	8
porción	2932
suprahioidea	52
extrínseca	116
subglotis	72
laríngeo	299
bronquio	1185
principal	810
carina	115
hilio	146
lóbulo	2232
pleura	656
pericardio	406
articular	4899
extremidades	1381
escápula	385
largos	97
extremidad	5877
derecha	7494
izquierda	7722
cortos	73
cráneo	1682
orbitario	280
mandíbula	1358
costillas	439
esternón	678
clavícula	644
pelvis	2736
sacro	918
cóccix	350
melanoma	1155
incluyendo	207
canto	311
tronco	2669
margen	1321
mama	3820
hombro	5497
lugar	3216
merkel	93
neoplasias	283
malignas	129
basocelular	331
escamosas	466
derechos	342
izquierdos	279
mesotelioma	192
epiplón	233
mesenterio	260
mesocolon	58
parietal	568
pélvico	721
saco	901
douglas	74
blandos	319
fascia	2002
ligamento	6059
linfático	4005
conjuntivo	443
vasos	1224
sanguíneos	561
gastrointestinales	87
nervios	722
periféricos	292
autónomo	319
tórax	2398
abdomen	1758
retroperitoneo	250
axila	749
diafragma	669
grandes	705
hipocondrio	87
nalga	431
periné	54
espalda	955
estromal	96
pezón	751
areola	29
masculina	736
cuadrante	690
axilar	921
clítoris	366
externos	394
pudenda	143
útero	2654
endocérvix	73
exocérvix	35
cérvix	29
istmo	156
segmento	1945
endometrio	372
miometrio	85
ovario	1984
falopio	1833
oviducto	55
ancho	484
redondo	245
parametrio	58
anexos	371
uterinos	121
wolff	47
cuyo	8
punto	617
origen	1709
determinarse	29
tubo-ovárica	4
útero-ovárica	1
femenino	1229
placenta	989
prepucio	271
glande	160
cavernoso	260
testículo	1234
descendido	89
ectópico	883
retenido	431
escrotal	301
epidídimo	471
cordón	1545
espermático	414
escroto	735
túnica	500
seminal	398
masculino	983
trígono	129
cúpula	216
uretra	1116
ureteral	724
uraco	110
parauretrales	27
